epoch, lr, avg_loss, model_score
Epoch 118, 0.00003914, 27.69300842, 0.682054
Epoch 119, 0.00003835, 20.01454353, 0.650154
Epoch 120, 0.00003756, 22.87764740, 0.624620
Epoch 121, 0.00003677, 19.70690536, 0.624323
Epoch 122, 0.00003598, 19.45805168, 0.664098
Epoch 123, 0.00003520, 14.00869751, 0.647675
Epoch 124, 0.00003443, 18.88828087, 0.621445
Epoch 125, 0.00003366, 12.68463039, 0.630287
Epoch 126, 0.00003289, 19.48807907, 0.649402
Epoch 127, 0.00003213, 13.76200485, 0.691573
Epoch 128, 0.00003137, 22.52624512, 0.621407
Epoch 129, 0.00003062, 18.97857666, 0.630765
Epoch 130, 0.00002987, 19.37310791, 0.623409
Epoch 131, 0.00002913, 22.93014526, 0.669525
Epoch 132, 0.00002839, 16.36669540, 0.620976
Epoch 133, 0.00002766, 19.78558540, 0.648341
Epoch 134, 0.00002694, 21.53810120, 0.684919
Epoch 135, 0.00002622, 18.11425591, 0.666937
Epoch 136, 0.00002551, 25.06300354, 0.650276
Epoch 137, 0.00002481, 25.44506264, 0.631193
Epoch 138, 0.00002411, 16.95024681, 0.597888
Epoch 139, 0.00002343, 16.43276405, 0.580805
Epoch 140, 0.00002274, 14.89715862, 0.641616
Epoch 141, 0.00002207, 15.62744904, 0.680668
Epoch 142, 0.00002140, 17.17126465, 0.602355
Epoch 143, 0.00002075, 19.50133133, 0.654792
Epoch 144, 0.00002010, 24.60796356, 0.714492
Epoch 145, 0.00001945, 23.45108032, 0.685385
Epoch 146, 0.00001882, 37.23839951, 0.647841
Epoch 147, 0.00001820, 12.96082592, 0.703020
Epoch 148, 0.00001758, 35.89802551, 0.680677
Epoch 149, 0.00001697, 19.92267227, 0.683802
Epoch 150, 0.00001638, 18.47684479, 0.648167
Epoch 151, 0.00001579, 30.71409607, 0.620145
Epoch 152, 0.00001521, 18.69652176, 0.703038
Epoch 153, 0.00001464, 20.44444275, 0.679316
Epoch 154, 0.00001408, 17.12282562, 0.660741
Epoch 155, 0.00001353, 15.21646309, 0.661941
Epoch 156, 0.00001299, 17.17026329, 0.648386
Epoch 157, 0.00001246, 18.09648514, 0.656925
Epoch 158, 0.00001195, 24.96797752, 0.632276
Epoch 159, 0.00001144, 26.19357300, 0.736033
Epoch 160, 0.00001094, 17.48259163, 0.688016
Epoch 161, 0.00001045, 16.09691811, 0.716475
Epoch 162, 0.00000998, 14.39682674, 0.672191
Epoch 163, 0.00000951, 22.21765137, 0.670421
Epoch 164, 0.00000906, 11.85164833, 0.645247
Epoch 165, 0.00000862, 16.60309792, 0.664568
Epoch 166, 0.00000819, 18.54372597, 0.672667
Epoch 167, 0.00000777, 18.74980736, 0.672449
Epoch 168, 0.00000736, 24.60273170, 0.718536
Epoch 169, 0.00000697, 30.07649231, 0.703135
Epoch 170, 0.00000658, 17.94506645, 0.644472
Epoch 171, 0.00000621, 14.54667664, 0.627760
Epoch 172, 0.00000585, 19.32379723, 0.706180
Epoch 173, 0.00000550, 17.85631180, 0.692315
Epoch 174, 0.00000517, 16.60511208, 0.664982
Epoch 175, 0.00000485, 17.73988152, 0.675151
Epoch 176, 0.00000454, 20.32711411, 0.742187
Epoch 177, 0.00000424, 19.89941788, 0.674465
Epoch 178, 0.00000395, 25.39140129, 0.667007
Epoch 179, 0.00000368, 22.11156845, 0.680268
Epoch 180, 0.00000342, 17.38686752, 0.697045
Epoch 181, 0.00000318, 16.77947998, 0.718878
Epoch 182, 0.00000294, 14.36290741, 0.603353
Epoch 183, 0.00000272, 22.04438400, 0.633630
Epoch 184, 0.00000251, 16.04969406, 0.696700
Epoch 185, 0.00000232, 15.49637222, 0.718566
Epoch 186, 0.00000214, 25.74693680, 0.690079
Epoch 187, 0.00000197, 24.96506119, 0.665039
Epoch 188, 0.00000182, 16.59577179, 0.623443
Epoch 189, 0.00000168, 16.14871025, 0.756336
Epoch 190, 0.00000155, 11.30152607, 0.688714
