epoch, lr, avg_loss, model_score
Epoch 157, 0.00001246, 2776.92773438, 3.872532
Epoch 158, 0.00001195, 2525.78662109, 3.393613
Epoch 159, 0.00001144, 3005.73095703, 4.279166
Epoch 160, 0.00001094, 2971.77050781, 4.144228
Epoch 161, 0.00001045, 2951.96166992, 4.183686
Epoch 162, 0.00000998, 2998.67236328, 4.100167
Epoch 163, 0.00000951, 2902.02661133, 4.155536
Epoch 164, 0.00000906, 2966.14746094, 4.175663
Epoch 165, 0.00000862, 2777.42041016, 3.903426
Epoch 166, 0.00000819, 2488.48291016, 3.514479
Epoch 167, 0.00000777, 2724.99755859, 3.700554
Epoch 168, 0.00000736, 2846.58032227, 4.115035
Epoch 169, 0.00000697, 2693.53417969, 3.781975
Epoch 170, 0.00000658, 2897.58349609, 4.227516
Epoch 171, 0.00000621, 2616.23266602, 3.749615
Epoch 172, 0.00000585, 2942.92871094, 4.066824
Epoch 173, 0.00000550, 2753.30249023, 3.969182
Epoch 174, 0.00000517, 2894.56298828, 3.934680
Epoch 175, 0.00000485, 3175.78222656, 4.274341
Epoch 176, 0.00000454, 3015.77441406, 4.153519
Epoch 177, 0.00000424, 3058.75781250, 4.254880
Epoch 178, 0.00000395, 3192.77294922, 4.278586
Epoch 179, 0.00000368, 2741.64550781, 3.772172
Epoch 180, 0.00000342, 2735.77709961, 3.995356
Epoch 181, 0.00000318, 2747.89697266, 3.896124
Epoch 182, 0.00000294, 2549.98486328, 3.725466
Epoch 183, 0.00000272, 2555.45971680, 3.567348
Epoch 184, 0.00000251, 2648.79907227, 3.674158
Epoch 185, 0.00000232, 2824.91577148, 3.928317
Epoch 186, 0.00000214, 2837.31542969, 3.974064
Epoch 187, 0.00000197, 2745.24096680, 3.913988
Epoch 188, 0.00000182, 2736.50292969, 3.880388
Epoch 189, 0.00000168, 3095.85424805, 4.380669
Epoch 190, 0.00000155, 2682.08349609, 3.735257
Epoch 191, 0.00000143, 2756.51220703, 3.934280
Epoch 192, 0.00000133, 2970.12915039, 4.042181
Epoch 193, 0.00000124, 2889.22119141, 4.056173
Epoch 194, 0.00000117, 2859.19433594, 4.014363
Epoch 195, 0.00000111, 2805.47436523, 3.913539
Epoch 196, 0.00000106, 2793.34497070, 3.720766
Epoch 197, 0.00000103, 2734.78857422, 3.862744
Epoch 198, 0.00000101, 3212.42187500, 4.401361
Epoch 199, 0.00000100, 2994.00390625, 3.985794
Epoch 200, 0.00000101, 2483.79809570, 3.460391
