epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,4.431202074127097,1.2211148,11.125354189621774,2.8765278
1,1.0713015903221785,0.79853034,6.1739796211844995,1.9362262
2,1.0012271722988335,0.7748169,2.0527400154816475,1.0807486
3,0.788014962249782,0.67459494,1.0775449025003534,0.8081079
4,0.7024586618391941,0.6392416,0.8131795870630365,0.7176409
5,0.6683578009174822,0.61386424,0.5964006985488691,0.59937435
6,0.6109803709561745,0.59148556,0.5220676158603869,0.55516773
7,0.5844200998245761,0.5767094,0.5029987645776648,0.55005515
8,0.5980571281927817,0.5797167,0.4873089711917074,0.5401694
9,0.5573017692547119,0.5629589,0.4940963136522393,0.5517286
